Clusterid,ParentClusterid,ClusterName,Document Count
103,100,"king ranch, carey, demand fee, marketing brochure, east opportunities",1031
104,100,"chris dorland, oxford princeton programme, production, robert superty, chris meyer",991
105,100,"wild goose, carthage hub, gcc dispatcher, txu fuels nomination, hpl nom",994
106,100,"production, pat clynes, megan parker, david avila, melissa jones",1018
107,100,"chris dorland, enerfax, additional swing volumes, minimum monthly requirement, wagner brown year",968
108,100,"mandola, pat clynes, tufco gas control, per mmbtu, product control",980
109,100,"oxford princeton programme, pat clynes, enron houston, shively, enron announcements",1030
111,111," rodriguez,  maximum hourly volume,  ami chokshi,  enron north america corp,  profile volume nomination",1
113,111,"hesco, salt lake city, farmer daren, maria salazar, devon",996
114,111,"steve venturatos, mary poorman, allocation exception, charge allocations, susan",953
115,111,"gap gift certificates, profit center, smith, volume nomination, cpr pipeline exchange",962
116,111,"edward terry, horton, steve venturatos, ami chokshi, measurement custody dispute",992
118,111,"equistar activity, either party, volume nomination, julie meyers, susan hadix",1017
119,111,"hesco, edward terry, ctp name, incremental volume, physical storage",950
120,111,"supply agreements, edward terry, methanol plant, allen, maximum hourly volume",967
121,111,"burnell, mark mccoy, karen, devon, samson",1049
122,122," aimee lannou,  ami chokshi,  daren,  carlos,  volume nomination",1
123,122,"eol global database support, average rate, complex setup new contracts, new contract req notif, cas audits",2234
124,122,"bruno gaillard, interconnection service provider, jeff dasovich, sitara, hector mcloughlin",983
125,122,"special nomination notes, michael olsen, requirements, naaman, txu fuels nomination",987
126,122,"ami chokshi, texas industries inc gas, enron capital, anita luong, stacey neuweiler",915
127,122,"julie meyers, agua dulce, generation deployment, plant, stacey neuweiler",999
128,122,"julie meyers, plant, heather choate, stockholders equity, stacey neuweiler",968
129,122,"susan smith, supply agreements, private line, ami chokshi, charlotte hawkins",973
130,122,"heather choate, liability, susan, mary poorman, petroleum corp",1046
131,122,"aimee, steve venturatos, teco tap, megan parker, stella",998
132,122,"generation deployment, transportation name, payroll taxes name, employee expenses name, charitable contributions name",2933
133,133," paul kaufman,  direct access,  comprehensive settlement,  karen denne,  california",1
134,133,"service providers, network, communications services, telecommunications company, edwards afb",1262
135,133,"financial accounting, chief accountant, roundtable discussion, financial accounting standards board, exchange commission",934
136,133,"green bay packers, bill stabilization plan, meter, tampa bay buccaneers, carpet",1009
137,133,"system units, full market opening, scott bolton, jeff dasovich, williams communications",1005
138,133,"market design center, local transmission charges, core gas aggregation service, market share, retail competition",970
139,133,"regulatory risk event, cal edison claims, transmission owners, ircon, generation",958
140,133,"catherine mckalip, bandwidth market report, comcast, rules, renewable energy",1026
141,133,"filing, normal distribution, core gas aggregation service, pennsylvania, oii settlement draft pro",913
142,133,"federal power act, personal problem, dow jones, jeremy meier, generation",939
143,133,"gate market, resco, transmission owners, jeff dasovich, cat urine odor",984
144,144," paul kaufman,  richard shapiro,  sandra mccubbin,  christine,  mary hain",1
145,144,"transmission pricing options, qos damage triggering event, stipulation, market, independent system operator",1302
146,144,"portfolio, data centers, seattle city light, monthly price, annual transmission expansion plans",942
147,144,"filing, discount rate, new power plants, unrealized gains, duke energy",949
148,144,"stephanie, wholesale prices, joseph alamo, pacific gas, feedback",974
149,144,"stock, feature group, transport service, mary hain, access local transport",982
150,144,"richard shapiro, new england, forward contracts, electronic mail addresses, natural gas service",935
151,144,"quantity offer curve, cal iso board, enron broadband services, small electric generating units, hearing committee",998
152,144,"north dakota, ahead, local transmission, pjm west, million annual therms",1001
153,144,"control areas, capital expenditures, rebecca, margo reyna, authorization",949
154,144,"master file data, larcamp, piesco, elizabeth linnell, oracle",968
155,155," alan comnes,  harry kingerski,  nsf format,  direct access,  paul kaufman",1
156,155,"public service, retail end use customers, visionael, local transport service, gas transmission facilities connections",1194
157,155,"san francisco, effective bid prices, effective bid price, market clearing price, silicon valley",973
158,155,"janel guerrero, zinfandel, prof cap, home depot, alan comnes",893
159,155,"total capital, market power mitigation plan, enron energy services, enron broadband services, katie kaplan",968
160,155,"public utility, utilities, joint petition, sandra mccubbin, customer credit",1046
161,155,"retail energy markets, bilateral forward contracts, canada, transition cost recovery, forbearance amounts",981
162,155,"conference call, special purpose trust, treasurer, joseph alamo, vicki",982
163,155,"net book value, jones, state energy demand, winter, transmission rights manual",980
164,155,"attorney client privilege, winter, public utility, enron broadband services, amount",996
165,155,"fireplace, energy power generation, biotech, market price, enronxgate",987
166,166," original message,  transwestern pipeline company,  hyperion line,  california,  susan scott",1
167,166,"missing data, six sigma, air products, battery, high prs filter",1120
168,166,"neal shaw, katie kaplan, chuck, contract administration, new mexico",965
169,166,"overspeed faults, duluth, equity, fault, intellectual property",1045
170,166,"secondary brake, steve, martha benner, kurt anderson, martha",985
171,166,"secondary brake, maria pavlou, kim nguyen, direct access customers, generator",992
172,166,"interrogatory, major, martha benner, availability, haynes",970
173,166,"louis soldano, vernon merca, warner, portfolio managers, forney",1046
174,166,"smartenergy, appropriate price, voltage phase, marginal price signal, direct access customers",945
175,166,"government code, southern california edison, generator, anyone, transporter",940
176,166,"south texas electric cooperative, mary kay miller, bay area, agreement, southwest electric service company",992
177,177," tracy,  outlook migration team,  northern natural gas company,  northern,  martha benner",1
178,177,"total obligations ending balance, capital charge, total obligations opening balance, furnas, common shares",1165
179,177,"enron power marketing, ocs service providers, continent, daily delivery variance charges, scott",997
180,177,"utilicorp, kathy ringblom, bill cordes, delivery point, far orders",967
181,177,"mastio, access technology, legal fees, league city, conoco",992
182,177,"allegheny, tony pryor, power factor, donna greif, line item",1001
183,177,"enron power marketing, kathy siess, kathy ringblom, charles, green mountain",993
184,177,"allegheny, bob burleson, service description units, lorraine lindberg, base gas",997
185,177,"eddy daniels, new business, steven harris, maximum daily volume, ibuyit payables workflow tool",940
186,177,"denise lagesse, net sales, nine mile point, kingfisher, kevin hyatt",992
187,177,"shelley corman, brazilian central bank, equity, hotline, jean mcfarland",956
188,188," chris,  ercot,  victor lamadrid,  scott goodell,  original message",1
189,188,"jeff westover, compression, kim novsek bizik, ldc nom deadline, fuel net quantity",1151
190,188,"vng city gate, scott goodell, crystal hyde, col gulf, shockwave",977
191,188,"distribution loss factors, vng city gate, southwest airlines, sea robin, phys fwd",955
192,188,"tdsp eps meter inspector, local congestion, cost center, enron broadband svcs, eps metering facilities",964
193,188,"sitara, kimberly brown, geaccone tracy, black start resource, ces needs",997
194,188,"new power, cost surcharge, ticket number, net contribution market services, enron property",979
195,188,"gpm agency agreement, ercot board, revision request, oneok numbers, fuel retention",1008
196,188,"annual quantity, open season, bob brodie, robert allwein, ercot iso",1001
197,188,"transwestern pipeline company, geaccone, trade resources, national energy group, shively",992
198,188,"metering, intangible assets, cash flows, crystal hyde, fair value",976
199,199," chris,  joann collins,  jeffrey porter,  power gas marketing, chris germany",1
200,199,"conversion factor, henry hub, agl macon area, atlanta area, agl savannah area",1294
201,199,"tallahassee, demand charge, energy services, quantities, plant control room",986
202,199,"spot purchase, alicia perkins, chris germany, molly lafuze, shippers",956
203,199,"chris germany, donnie, colleen, transportation marketing department, iroquois parking dispute",982
204,199,"national energy group, design day capacity, chris germany, meters, steve gillespie",975
205,199,"orma station, darron, oscar nelson enron access, pacific atlantic res inc, process prior missing chart",945
206,199,"alamo, dick jenkins, jim homco, hodge, reservation charge",965
207,199,"middle market, travel specials, power trading, stingray pipeline company, meters",974
208,199,"mary germany, shively, demand charges, jason, scott",972
209,199,"utilities electric company, shively, alicia perkins, locker, wholesale transmission service",951
210,210," california southern zone,  california,  wholesale electricity,  direct access,  california northern zone",1
211,210,"henry hub, crude merc, market, nxavc, riordan",1203
212,210,"net short energy, public purpose program charges, price, subtypes, middle market",980
213,210,"technical, retail revenue requirements, baltimore washington int, monthly gas update, committee",976
214,210,"retail load, standard deviation, related dedicated rate components, kevin, mexican food",984
215,210,"inlet energy supply, scott, construction work, john griffith, cameron sellers",980
216,210,"technical, daily, scott, ratepayers, production llc",988
217,210,"restructuring, curve, intelligence press, program, los angeles times",971
218,210,"dickinson field, elm grove, voltage, elm grove field, giron",995
219,210,"avoided costs, receipt point capacity allocation, tree hot, carole frank, wagner",937
220,210,"restructuring, maureen mcvicker, contra costa times, merchant energy, san jose mercury news",986
221,221," ancillary schedules,  hourahead hour,  variances,  portland shift,  pete davis",1
222,221,"total flexbook price, wellhead volume, deal date, sub total flex, southwest airlines",1151
223,221,"ancillary schedules, new order, one year strip, ticks, kourtney nel",997
224,221,"confirmation agreement, east coast power, guzman, melissa ann murphy, monique sanchez",959
225,221,"aaron, guzman, digital call, maximum penal sum, monique sanchez",1012
226,221,"alaska airlines, onepass, dow jones newswires, monique sanchez, open season",1016
227,221,"palo alto historical loads, guzman, hourahead hour, monique sanchez, pete davis",954
228,221,"enron americas lng company, one year strip, bonds, guzman, maria van houten",1021
229,221,"bonds, guzman, aquila energy marketing corporation, dutch, funds rate",953
230,221,"guzman, angela cadena, griffith, enrollment, sean crandall",956
231,221,"guzman, tropical pacific, assignee, cheap tickets, pdf see attached file",981
232,232," williams,  bert meyers,  table tblloads,  alan aronowitz,  log messages",1
233,232,"insufficient disk space, bad data, enough space, alias, schedule crawler",1822
234,232,"commercial operation date, vicki, becerra, ontario market, ercot protocols",913
235,232,"intranet package, neil bresnan, jeffrey, portland west desk, energy committee",913
236,232,"commercial operation date, legal risks, paul simons, letter agreement, global finance",898
237,232,"public power system, credit event, sheila, joint venture company, brazos",950
238,232,"janette elbertson, japan, buy rating, katie trullinger, district court",914
239,232,"foreign exchange, chief operating officer, swap agreements, dominion, legal risk memo",901
240,232,"greenberg, stacy carey, district court, paper products, isda master agreement",874
241,232,"credit agreement, foreign exchange, hybrid instrument, dow jones, bruce",885
242,232,"melissa ann murphy, janette elbertson, prc institutions, common stock, agreement",930
243,243," paul simons,  legal cmt mtg members,  lance schuler,  janette elbertson,  carol kincannon",1
244,243,"task force, arbitration, prior, credit support documentation, neither party",1058
245,243,"joint venture company, dan lyons, sheila tweed, janette elbertson, computer information transactions",1029
246,243,"qwest, energy trading, electronic trading, janette elbertson, puget",986
247,243,"intranet package, nstar, subscriber membership, cash call, david",981
248,243,"nstar, scott sefton, travis mccullough, janette elbertson, enrononline",960
249,243,"dan lyons, legal cmt mtg members, janette elbertson, member states, commercial operation date",989
250,243,"janette elbertson, chairman rainer, emw common stock, confirmation letter, commercial operation date",967
251,243,"robin, electronic signature, paul simons, equity trading, plus ogc",1003
252,243,"travis mccullough, dan lyons, electronic signature, residential energy customers, janette elbertson",1034
253,243,"travis mccullough, janette elbertson, commercial operation date, david ricafrente, stranded costs",993
254,254," energy,  enron announcements,  janette elbertson,  california,  filing",1
255,254,"new facility, reliability management system agreement, interconnection facilities study, new facility operator, joint use facilities",1178
256,254,"day rule, northern states power company, master agreements, minnesota municipal power agency, mary hain",949
257,254,"alan comnes, federal parties, florida gas transmission company, mitigation procedures, load loss",961
258,254,"enron announcements, florida gas transmission company, rate increases, commodity agreement, lysa akin",981
259,254,"ratings, lisa mellencamp, lysa akin, stranded costs, swap agreements",970
260,254,"service list, credit default, bankruptcy code, british energy, master agreements",1032
261,254,"hearing officer, enron announcements, central maine power company, ivaco, indemnifying party",992
262,254,"lump sum payment option, small mtg, ferc annual charges, springfield utility board, industrial gas users",963
263,254,"dominic, john novak, enron announcements, energy market participant, slice customers",984
264,254,"enron announcements, new york iso, base case, oral communications, products",990
265,265," judy hernandez,  credit support,  net contribution,  enron north america corp,  stearns",1
266,265,"qualified institution, first business day, general first lien, group hereby, credit support annex",1286
267,265,"jane coleman, trade resources, annual, priscilla gilbert, francisco pinto",986
268,265,"clair, arnold joh, production sap, theriot, james saunders",977
269,265,"cash flow analysis, shippers, danny mccarty, crude oil, hayslett rod",961
270,265,"somebody, calif mkt pool, commodity charges, nevada power, pge topock",950
271,265,"price payor, texans, david rosenberg, termination date, harris",956
272,265,"stearns securities, customer, texas pipeline, bear stearns securities, hayslett rod",958
273,265,"cindy, nelson, wayne herndon, series, expense",951
274,265,"jerry, long distance, business environment, rod hayslett, tariff",999
275,265,"energy services canada, barker, work product, kevin, feliciaci warner",976
276,276," seller,  hodge,  smith,  master agreement,  trade resources international corp",1
277,276,"contract party, peak prices, prices, commodity transaction, synergy",1156
278,276,"cindy, shawna flynz, becky spencer, rules, ena upstream",1019
279,276,"one year strip, forward sale contract, enron broadband services, stanley horton, maria sandoval",1000
280,276,"turtle, stanley horton, rudy acevedo, fishermen, smarter living",1005
281,276,"amber, hernandez, chief executive officer, receivables transfer agreement, amber limas",1024
282,276,"fuel hedge, larry, matt stephenson, ethanol, santa",989
283,276,"mahonia, clint dean, brenda flores, gary smith, louis dreyfus",951
284,276,"keith, forward sale contract, first union, cindy, west coast ngl",983
285,276,"stanley horton, hess energy trading company, michigan consolidated gas company, shawna flyn, contractor",936
286,276,"rudy acevedo, pipeline safety, enron announcements, satan, richard hrabal",937
287,287," two business days,  confidential information,  outlook migration team,  indemnified party,  financial statements",1
288,287,"tco pool, hourly, available, master contract, epgt texas pipeline",1225
289,287,"sun devil project, hyatt kevin, suzuki, index price, gas purchase contract",990
290,287,"daily price survey, trading company, basis price, alaska, les webber",946
291,287,"subject contract, russell diamond, todoroff, vice president, kim ward",989
292,287,"passive owners, haldor topsoe, firm confirmation, cindy, invoices",1006
293,287,"organization, rate class, state pressure base, federal base, rate bracket",960
294,287,"entex, devon, hereby, majeure, ellen wallumrod",999
295,287,"senior project lender, gisb review, hyatt, consenting party, route",956
296,287,"devon, russell diamond, gross receipts tax, enfolio contract, northeast utilities",998
297,287,"kevin hyatt, debra, hyatt, nonresident, field services",931
298,298," master agreement,  tana jones,  transaction agreement,  alan aronowitz,  party",1
300,298,"master purchase sale firm, dow jones, master purchase sale spot, gisb base contract, service provider",914
301,298,"force majeure, eligible credit support, marie, sara shackleton, gas purchase contract",895
302,298,"debra, eligible credit support, james hardie, elizabeth sager, pipeline companies",807
303,298,"southern natural gas company, linda, first nearby seasonal block, second nearby seasonal block, tana jones",855
304,298,"dow jones, daily purchase deficiency, product type approval, special provisions, reserve commitment area",893
305,298,"bob bowen, susan bailey, energy marketing inc, assignment agreement, tana jones",858
306,298,"epgt texas pipeline, haldor topsoe, dan hyvl, calculation period, determination period",883
307,298,"david minns, specifications set forth, net worth, james hardie, experian",901
308,298,"david forster, louise kitchen, service provider, affiliate, adder",820
309,309,"trade resources,  confidential information,  product type,  stephanie,  nsf format",1
311,309,"singapore private network users, user fee, kingdom current awareness, option transaction, shari stack",944
312,309,"reuters content, annette, confidentiality agreement, good luck america, governor george",915
313,309,"dave samuels, sorenson, ann murphy, pirog, lance schuler",939
314,309,"media services, member firm, wabash, carol, counterparty approval list",1033
315,309,"justin, intercontinental, anderson, reference credit, celeste cisneros",927
316,309,"online provider, enronentitycode, liquid fuels, market disruption event, greenberg",993
317,309,"elizabeth white, pat radford, cargill, dow jones, material adverse change",938
318,309,"steve van hooser, stephanie, carol, leslie hansen, bridgette anderson",984
319,309,"btu brokers, password application, fpl transmission system, financial power, buenos aires argentina",552
320,320," party,  nsf format,  greenberg,  original message,  stephanie",1
321,320,"enron coal services, inc enron power marketing, enron clean fuels company, enron etity, inc enron liquid fuels",5685
322,320,"jenny hel, vince, energy trading, singapore, lance",897
323,320,"dan lyons, stinson gibner, fallback reference weather station, elizabeth sager, matrix",969
324,320,"samantha, russell, coral energy canada inc, inc gtc sale firm, campos",947
325,320,"vince, recipientthe, enron net works llc, enron data, enrononline",873
326,320,"intelligence press, nymex access, material adverse change, enrononline price reports, ermt master agreement",902
327,320,"greenberg, vince, electronic records, samantha boyd, password application",942
328,320,"intellectual property rights, argus, exchange information, sara shackleton, interest rates",892
329,320,"day rates, prior, material adverse change, sara davidson, jones tana",903
330,320,"greenberg, bankruptcy code, deb korkmas, evans, mary cook",939
331,331," stinson gibner,  commodity company ltd,  kaminski,  market data,  shirley crenshaw",1
332,331,"commodity group, investment opportunity, volatility smirk, enron business unit, asset value",1043
333,331,"peak hours, financial times energy, ted murphy, natural gas prices, geometric brownian motion",994
334,331,"interest rates, stinson gibner, string, vector, gwyn koepke",972
335,331,"print htmlfile, kaminski, kristin, anita, bjorn",989
336,331,"subject information, molly, kaminski, sandeep kohli, kevin moore",1015
337,331,"baylor, scudder publishing group, var model, risk management, directive",1026
338,331,"neptune rts reserves, residual risk, finance conference, two years, ortfolio",1015
339,331,"judicial probe, scholes formula, time warner, credit default swap, rhome",966
340,331,"system operator, bnp paribas, cambridge energy research associates, stinson, charles shen",994
341,331,"credit risk, pricing, paulo, geometric brownian motion, stinson gibner",986
342,342," incumbent electric utility,  volume,  financial times,  task force,  electric energy",1
343,342,"assistance services, consumers, startup costs, congestion management, reference entity",725
344,342,"scholes formula, stinson gibner, kevin, carlo, energy industry",656
345,342,"enron house boardroom, discretionary var, logarithmic returns, con dence interval, alvarez",581
346,342,"scholes formula, environmental protection services, henry hub natural gas, financial stress, sarah novosel",627
347,342,"letter agreement, datren williams, volatility curve, andreas, counsel",643
348,342,"cat bond, generators, transmission rights, credit rating, latex font info",651
349,342,"multivariate linear regression models, francis, lora sullivan, moment, cash flows",665
350,342,"key interest, marshall, government, schroeder, con dence interval",613
351,342,"enron house boardroom, datren williams, volatility curve, monte carlo simulation, credit risk",600
352,342,"central bank, compound options, transactions costs, barrier options, monte carlo simulation",652
353,353," enrononline,  new power company,  enron communications,  incumbent electric utilities,  richard shapiro",1
354,353,"original acctg month, key competitive issues, enron information services, phone mail, entry deterrence",297
355,353,"davis appointees, sports authority, industrial consumers, maureen mcvicker, southern company energy marketing",240
356,353,"california power issues, koenig, massey, germain, cynthia sandherr",238
357,353,"focus groups, psc approval, local media, loretta, maureen mcvicker",221
358,353,"government affairs, palmer, master service agreement, southern company energy marketing, massey",240
359,353,"peggy, energy services, calme, kenneth, state regulatory body",229
360,353,"process, peggy, schroeder, saudi arabia, kenneth",250
361,353,"people specific services, government affairs, ricardo charvel, interbasin, james steffew",230
362,353,"jackie, oasis, sports authority, industrial consumers, steve kean",222
363,353,"sandra mccubbin, gary fitch, granite update, counsel, initital commitment",227
364,364," aep marketing companies,  resource policy program,  jeff dasovich,  richard shapiro,  enron communications",1
365,364,"hagel, natural resources defense council, transmission market power, rosalee fleming, arctic national wildlife refuge",116
366,364,"gas prices, electric output, resource policy program, market price, power markets",86
367,364,"gas prices, kelly kimberly, hagel, maureen mcvicker, jason sokolov",93
368,364,"gas prices, linda, resource policy program, market price, hagel",104
369,364,"gas prices, linda, resource policy program, sandra mccubbin, hagel",96
370,364,"gas prices, executive business review, enron energy services, margaret carson, yvette",106
371,364,"press release, esi speech, hagel, maureen mcvicker, election discounts",93
372,364,"flatscreens approval, executive business review, erin rice, hagel, maureen mcvicker",93
373,364,"another windmill factory, business practice change, weekly class review sessions, columbia energy group, power plant",23
374,374,"electronic filing,  federal energy regulatory commission,  natural gas,  university affairs,  tariff sheets",1
375,374,"electronic filing, adjustment bids, file name extension, christie patrick, university affairs",98
376,374,"policy makers, marge nadasky, new rule, management conference, libya",90
377,374,"public affairs, new rule, meredith philipp, undersigned officer, legislation",67
378,374,"dow jones newswires, itc release, enron intelligent network, independent transmission company, communication conf call today",62
379,379," construction,  palmer,  dabhol reg risk, maureen mcvicker,  advisory group",1
380,379,"petroleum, pipeline construction, preliminary results, common industry projections, economics",49
381,379,"expertfinder meeting, elizabeth linnell, calvin eakins, enron pac, bill donovan",46
382,379,"ranking meeting, pipeline construction, corporate tax burden, big problem, john ambler",46
383,379,"individual rcs, elizabeth linnell, lindsay, harris county tax assessor, business unit level",22
384,384," center wbs element,  tim belden,  nsf format,  total travel expense, price caps",1
385,384,"open access policy, values, power markets, deep structural fixes, sarah palmer",45
386,384,"jeffrey keeler, hoecker letter, amortized capital cost, toronto hydro, every step",44
387,384,"hoecker letter, grade inflation, refunds, toronto hydro, values",45
388,388," various services,  rac group,  portal,  web site billings,  long distance billings",1
389,388,"eric benson, report, web site billings, people specific services, sap department",74
390,388,"management team, grand rapids, eight weeks, chief risk officer, case study",52
391,391," project fact sheets,  senior executive correspondence,  enron corporate policy committee,  top tier media organizations,  nsf format",1
392,391,"amortized capital cost, ken lay join, enron global markets, cycle annual revenue, enron global assets office",11
393,391,"draft memo, dsm projects, price cap issue, enron global markets, work form",8
394,391,"carol hensley, investor relations arena, enron corporate policy committee, project fact sheets, enron global assets office",4
396,391,"draft memo, direct responses, abc world news tonight, ken lay join, enron global markets",13
397,391,"draft memo, top tier media organizations, abc world news tonight, enron corporate policy committee, news release",12
398,398," enron communications,  pressure points,  price quantity offer curve,  maureen mcvicker,  postal service",1
400,398,"texas survivor series, ricardo charvel, sanjay bhatnagar, texas version, courtney votaw",29
401,398,"postal service, ricardo charvel, sanjay bhatnagar, final draft, organization announcement",22
